id,hike_name,difficulty,num_review,distance,elevation,type,rating,dogs_on_leash,birding,dog_friendly,backpacking,kid_friendly,hiking,wheelchair_friendly,off_road_driving,fishing,camping,mountain_biking,nature_trips,walking,scenic_driving,road_biking,paddle_sports,snowshoeing,trail_running,cross_country_skiing,river,rock_climbing,forest,horseback_riding,lake,cave,views,no_dogs,scramble,beach,waterfall,no_shade,surfing,rocky,nan,skiing,wildlife,wild_flowers,muddy,washed_out,snow,old_growth,over_grown,closed,bugs,hot_springs,off_trail,rails_trails,city_walk,blowdown,private_property,historic_site,dogs,bridge_out
77,Kwaay Paay Peak Trail,MODERATE,600,2.3,875,Out & Back,4.3,dogs_on_leash,birding,,,kid_friendly,hiking,,,,camping,mountain_biking,nature_trips,walking,,,,,trail_running,,,,,,,,views,,,,,,,rocky,,,,wild_flowers,,,,,,,,,,,,,,,dogs,
78,Turnbull Canyon Trail,MODERATE,394,4.3,731,Loop,4.3,,,dog_friendly,,,hiking,,,,,mountain_biking,,walking,,road_biking,,,trail_running,,,,,horseback_riding,,,views,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Mount Baldy via Devils Backbone Trail,HARD,312,12.5,3956,Out & Back,4.7,dogs_on_leash,birding,,backpacking,,hiking,,,,camping,,nature_trips,walking,,,,,trail_running,,,,,,,,views,,,,,,,,,,wildlife,,,,,,,,,,,,,,,,dogs,
80,Paintbrush Trail to Portugese Bend,MODERATE,391,5.9,964,Loop,4.4,,birding,dog_friendly,,kid_friendly,hiking,,,,,mountain_biking,,walking,,,,,trail_running,,,,,horseback_riding,,,views,,,beach,,,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,,
81,Ryan Mountain Trail,MODERATE,360,2.7,1062,Out & Back,4.5,,birding,,,,hiking,,,,,,nature_trips,walking,,,,,trail_running,,,,,,,cave,views,no_dogs,,,,,,rocky,,,wildlife,wild_flowers,,,,,,,,,,,,,,,dogs,
82,Lake Chabot Trail ,MODERATE,366,8.4,836,Loop,4.3,dogs_on_leash,birding,,,kid_friendly,hiking,,,fishing,,mountain_biking,nature_trips,walking,,,paddle_sports,,trail_running,,,,forest,horseback_riding,lake,,views,,,,,,,,,,wildlife,,,washed_out,,,,,,,,,,,,,dogs,
83,Fullerton Loop Trail,MODERATE,377,11.2,744,Loop,4.1,,birding,dog_friendly,,,hiking,,,fishing,,mountain_biking,nature_trips,walking,,,,snowshoeing,trail_running,,river,,forest,horseback_riding,lake,,views,,,,,,,rocky,,,wildlife,wild_flowers,,washed_out,snow,,,,,,,rails_trails,,,,,,
84,Stonewall Peak Trail,EASY,395,3.4,813,Out & Back,4.6,,birding,,,kid_friendly,hiking,,,,,,nature_trips,walking,,,,,trail_running,,,rock_climbing,forest,,,,views,no_dogs,scramble,,,,,rocky,,,,,,,snow,,over_grown,,,,,,,,,,dogs,
85,Mount Hollywood Trail,MODERATE,282,5.3,1250,Loop,4.2,dogs_on_leash,birding,,,kid_friendly,hiking,,,,,mountain_biking,nature_trips,walking,scenic_driving,road_biking,,,trail_running,,,rock_climbing,,horseback_riding,,,views,,,,,,,,,,wildlife,wild_flowers,,,,,,,bugs,,,,,,,,dogs,
86,Skyline Drive Trail to Water Tank,MODERATE,534,3.7,885,Out & Back,4.3,,birding,dog_friendly,,kid_friendly,hiking,,,,,,nature_trips,walking,,road_biking,,,trail_running,,,,forest,,,,views,,,,,,,,,,wildlife,wild_flowers,,,,,,,bugs,,,,,,,,,
